%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;100;100;0;120;100;20;None;Drive
Vehicle0;120;100;20;120;100;25;[Box{id=B13}, Box{id=B14}];Load
Vehicle0;120;100;25;0;100;145;None;Drive
Vehicle0;0;100;145;0;100;150;B13;Unload
Vehicle0;0;100;150;0;100;155;B14;Unload
Vehicle0;0;100;155;150;100;305;None;Drive
Vehicle0;150;100;305;150;100;310;[Box{id=B29}];Load
Vehicle0;150;100;310;0;100;460;None;Drive
Vehicle0;0;100;460;0;100;465;B29;Unload
Vehicle0;0;100;465;200;100;665;None;Drive
Vehicle0;200;100;665;200;100;670;[Box{id=B53}, Box{id=B54}];Load
Vehicle0;200;100;670;0;100;870;None;Drive
Vehicle0;0;100;870;0;100;875;B53;Unload
Vehicle0;0;100;875;0;100;880;B54;Unload
Vehicle0;0;100;880;200;100;1080;None;Drive
Vehicle0;200;100;1080;200;100;1085;[];Load
Vehicle0;200;100;1085;0;100;1285;None;Drive
Vehicle0;0;100;1285;0;100;1285;None;Drive
Vehicle0;0;100;1285;0;100;1290;B2;Load
Vehicle0;0;100;1290;230;100;1520;None;Drive
Vehicle0;230;100;1520;230;100;1525;[Box{id=B2}];Unload
Vehicle0;230;100;1525;120;100;1635;None;Drive
Vehicle0;120;100;1635;120;100;1640;[];Load
Vehicle0;120;100;1640;0;100;1760;None;Drive
Vehicle0;0;100;1760;180;100;1940;None;Drive
Vehicle0;180;100;1940;180;100;1945;[Box{id=B44}];Load
Vehicle0;180;100;1945;0;100;2125;None;Drive
Vehicle0;0;100;2125;0;100;2130;B44;Unload
Vehicle0;0;100;2130;110;100;2240;None;Drive
Vehicle0;110;100;2240;110;100;2245;[Box{id=B9}];Load
Vehicle0;110;100;2245;0;100;2355;None;Drive
Vehicle0;0;100;2355;0;100;2360;B9;Unload
Vehicle0;0;100;2360;120;100;2480;None;Drive
Vehicle0;120;100;2480;120;100;2485;[Box{id=B12}];Load
Vehicle0;120;100;2485;0;100;2605;None;Drive
Vehicle0;0;100;2605;0;100;2610;B12;Unload
Vehicle0;0;100;2610;200;100;2810;None;Drive
Vehicle0;200;100;2810;200;100;2815;[Box{id=B52}];Load
Vehicle0;200;100;2815;0;100;3015;None;Drive
Vehicle0;0;100;3015;0;100;3020;B52;Unload
Vehicle0;0;100;3020;230;100;3250;None;Drive
Vehicle0;230;100;3250;230;100;3255;[Box{id=B68}, Box{id=B69}, Box{id=B2}];Load
Vehicle0;230;100;3255;0;100;3485;None;Drive
Vehicle0;0;100;3485;0;100;3490;B68;Unload
Vehicle0;0;100;3490;0;100;3495;B69;Unload
Vehicle0;0;100;3495;0;100;3500;B2;Unload
Vehicle0;0;100;3500;120;100;3620;None;Drive
Vehicle0;120;100;3620;120;100;3625;[Box{id=B11}];Load
Vehicle0;120;100;3625;0;100;3745;None;Drive
Vehicle0;0;100;3745;0;100;3750;B11;Unload
Vehicle0;0;100;3750;0;100;3750;None;Drive
Vehicle0;0;100;3750;0;100;3755;B1;Load
Vehicle0;0;100;3755;210;100;3965;None;Drive
Vehicle0;210;100;3965;210;100;3970;[Box{id=B1}];Unload
Vehicle0;210;100;3970;230;100;3990;None;Drive
Vehicle0;230;100;3990;230;100;3995;[];Load
Vehicle0;230;100;3995;0;100;4225;None;Drive
Vehicle0;0;100;4225;0;100;4225;None;Drive
Vehicle0;0;100;4225;0;100;4230;B0;Load
Vehicle0;0;100;4230;210;100;4440;None;Drive
Vehicle0;210;100;4440;210;100;4445;[Box{id=B0}];Unload
Vehicle0;210;100;4445;250;100;4485;None;Drive
Vehicle0;250;100;4485;250;100;4490;[Box{id=B79}];Load
Vehicle0;250;100;4490;0;100;4740;None;Drive
Vehicle0;0;100;4740;0;100;4745;B79;Unload
