%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;20;100;0;110;100;95;B3;PU
Vehicle0;110;100;95;10;100;200;B3;PL
Vehicle0;10;100;200;110;100;305;B2;PU
Vehicle0;110;100;305;10;100;410;B2;PL
Vehicle0;10;100;410;120;100;525;B6;PU
Vehicle0;120;100;525;120;100;530;B7;PU
Vehicle0;120;100;530;120;100;535;B7;PL
Vehicle0;120;100;535;10;100;650;B6;PL
Vehicle0;10;100;650;130;100;775;B10;PU
Vehicle0;130;100;775;130;100;780;B11;PU
Vehicle0;130;100;780;110;100;805;B10;PL
Vehicle0;110;100;805;110;100;810;B11;PL
Vehicle0;110;100;810;130;100;835;B8;PU
Vehicle0;130;100;835;130;100;840;B9;PU
Vehicle0;130;100;840;130;100;845;B9;PL
Vehicle0;130;100;845;0;100;980;B8;PL
Vehicle0;0;100;980;160;100;1145;B23;PU
Vehicle0;160;100;1145;10;100;1300;B23;PL
Vehicle0;10;100;1300;160;100;1455;B22;PU
Vehicle0;160;100;1455;10;100;1610;B22;PL
Vehicle0;10;100;1610;170;100;1775;B26;PU
Vehicle0;170;100;1775;170;100;1780;B27;PU
Vehicle0;170;100;1780;170;100;1785;B27;PL
Vehicle0;170;100;1785;10;100;1950;B26;PL
Vehicle0;10;100;1950;180;100;2125;B30;PU
Vehicle0;180;100;2125;180;100;2130;B31;PU
Vehicle0;180;100;2130;180;100;2135;B31;PL
Vehicle0;180;100;2135;10;100;2310;B30;PL
Vehicle0;10;100;2310;180;100;2485;B29;PU
Vehicle0;180;100;2485;180;100;2490;B31;PU
Vehicle0;180;100;2490;130;100;2545;B31;PL
Vehicle0;130;100;2545;130;100;2550;B29;PL
Vehicle0;130;100;2550;180;100;2605;B28;PU
Vehicle0;180;100;2605;10;100;2780;B28;PL
Vehicle0;10;100;2780;190;100;2965;B35;PU
Vehicle0;190;100;2965;10;100;3150;B35;PL
Vehicle0;10;100;3150;210;100;3355;B43;PU
Vehicle0;210;100;3355;10;100;3560;B43;PL
Vehicle0;10;100;3560;210;100;3765;B42;PU
Vehicle0;210;100;3765;0;100;3980;B42;PL
Vehicle0;0;100;3980;210;100;4195;B41;PU
Vehicle0;210;100;4195;0;100;4410;B41;PL
Vehicle0;0;100;4410;210;100;4625;B40;PU
Vehicle0;210;100;4625;0;100;4840;B40;PL
Vehicle0;0;100;4840;220;100;5065;B46;PU
Vehicle0;220;100;5065;220;100;5070;B47;PU
