%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;100;100;0;120;100;20;None;Drive
Vehicle0;120;100;20;0;100;140;None;Drive
Vehicle0;0;100;140;200;100;340;None;Drive
Vehicle0;200;100;340;200;100;345;[Box{id=B53}, Box{id=B54}];Load
Vehicle0;200;100;345;0;100;545;None;Drive
Vehicle0;0;100;545;0;100;550;B53;Unload
Vehicle0;0;100;550;0;100;555;B54;Unload
Vehicle0;0;100;555;120;100;675;None;Drive
Vehicle0;120;100;675;120;100;680;[Box{id=B13}, Box{id=B14}];Load
Vehicle0;120;100;680;0;100;800;None;Drive
Vehicle0;0;100;800;0;100;805;B13;Unload
Vehicle0;0;100;805;0;100;810;B14;Unload
Vehicle0;0;100;810;200;100;1010;None;Drive
Vehicle0;200;100;1010;200;100;1015;[];Load
Vehicle0;200;100;1015;0;100;1215;None;Drive
Vehicle0;0;100;1215;120;100;1335;None;Drive
Vehicle0;120;100;1335;120;100;1340;[Box{id=B12}];Load
Vehicle0;120;100;1340;0;100;1460;None;Drive
Vehicle0;0;100;1460;0;100;1465;B12;Unload
Vehicle0;0;100;1465;250;100;1715;None;Drive
Vehicle0;250;100;1715;250;100;1720;[Box{id=B79}];Load
Vehicle0;250;100;1720;0;100;1970;None;Drive
Vehicle0;0;100;1970;0;100;1975;B79;Unload
Vehicle0;0;100;1975;110;100;2085;None;Drive
Vehicle0;110;100;2085;110;100;2090;[Box{id=B9}];Load
Vehicle0;110;100;2090;0;100;2200;None;Drive
Vehicle0;0;100;2200;0;100;2205;B9;Unload
Vehicle0;0;100;2205;230;100;2435;None;Drive
Vehicle0;230;100;2435;230;100;2440;[Box{id=B69}];Load
Vehicle0;230;100;2440;0;100;2670;None;Drive
Vehicle0;0;100;2670;0;100;2675;B69;Unload
Vehicle0;0;100;2675;120;100;2795;None;Drive
Vehicle0;120;100;2795;120;100;2800;[];Load
Vehicle0;120;100;2800;0;100;2920;None;Drive
Vehicle0;0;100;2920;230;100;3150;None;Drive
Vehicle0;230;100;3150;230;100;3155;[Box{id=B68}];Load
Vehicle0;230;100;3155;0;100;3385;None;Drive
Vehicle0;0;100;3385;0;100;3390;B68;Unload
Vehicle0;0;100;3390;0;100;3390;None;Drive
Vehicle0;0;100;3390;0;100;3395;B0;Load
Vehicle0;0;100;3395;210;100;3605;None;Drive
Vehicle0;210;100;3605;210;100;3610;[Box{id=B0}];Unload
Vehicle0;210;100;3610;200;100;3620;None;Drive
Vehicle0;200;100;3620;200;100;3625;[Box{id=B52}];Load
Vehicle0;200;100;3625;0;100;3825;None;Drive
Vehicle0;0;100;3825;0;100;3830;B52;Unload
Vehicle0;0;100;3830;0;100;3830;None;Drive
Vehicle0;0;100;3830;0;100;3835;B1;Load
Vehicle0;0;100;3835;210;100;4045;None;Drive
Vehicle0;210;100;4045;210;100;4050;[Box{id=B1}];Unload
Vehicle0;210;100;4050;180;100;4080;None;Drive
Vehicle0;180;100;4080;180;100;4085;[Box{id=B44}];Load
Vehicle0;180;100;4085;0;100;4265;None;Drive
Vehicle0;0;100;4265;0;100;4270;B44;Unload
Vehicle0;0;100;4270;150;100;4420;None;Drive
Vehicle0;150;100;4420;150;100;4425;[Box{id=B29}];Load
Vehicle0;150;100;4425;0;100;4575;None;Drive
Vehicle0;0;100;4575;0;100;4580;B29;Unload
Vehicle0;0;100;4580;0;100;4580;None;Drive
Vehicle0;0;100;4580;0;100;4585;B2;Load
Vehicle0;0;100;4585;230;100;4815;None;Drive
Vehicle0;230;100;4815;230;100;4820;[Box{id=B2}];Unload
